"source","target","ligand","receptor","prob","pval","interaction_name","interaction_name_2","pathway_name","annotation","evidence"
"Ex_L5_6","Oligodendrocytes","NRG1","ERBB4",0.13640202777742,0,"NRG1_ERBB4","NRG1 - ERBB4","NRG","Secreted Signaling","KEGG: hsa04012"
"In_LAMP5","Oligodendrocytes","NRG1","ERBB4",0.0360212212582987,0,"NRG1_ERBB4","NRG1 - ERBB4","NRG","Secreted Signaling","KEGG: hsa04012"
"In_LAMP5_PAX6","Oligodendrocytes","NRG1","ERBB4",0.160142531257221,0,"NRG1_ERBB4","NRG1 - ERBB4","NRG","Secreted Signaling","KEGG: hsa04012"
"Cajal_Retzius","Oligodendrocytes","NRG1","ERBB4",0.0609433046346233,0,"NRG1_ERBB4","NRG1 - ERBB4","NRG","Secreted Signaling","KEGG: hsa04012"
"Ex_L2_3","Cajal_Retzius","NRG1","ERBB4",0.0345333810146282,0,"NRG1_ERBB4","NRG1 - ERBB4","NRG","Secreted Signaling","KEGG: hsa04012"
"Ex_L5_6","Cajal_Retzius","NRG1","ERBB4",0.130548415779731,0,"NRG1_ERBB4","NRG1 - ERBB4","NRG","Secreted Signaling","KEGG: hsa04012"
"In_LAMP5","Cajal_Retzius","NRG1","ERBB4",0.0343042760195645,0,"NRG1_ERBB4","NRG1 - ERBB4","NRG","Secreted Signaling","KEGG: hsa04012"
"In_LAMP5_PAX6","Cajal_Retzius","NRG1","ERBB4",0.153451140065251,0,"NRG1_ERBB4","NRG1 - ERBB4","NRG","Secreted Signaling","KEGG: hsa04012"
"Cajal_Retzius","Cajal_Retzius","NRG1","ERBB4",0.0581100614019316,0,"NRG1_ERBB4","NRG1 - ERBB4","NRG","Secreted Signaling","KEGG: hsa04012"
"Ex_L2_3","Ex_L6b","NRG3","ERBB4",0.38906082021694,0,"NRG3_ERBB4","NRG3 - ERBB4","NRG","Secreted Signaling","KEGG: hsa04012"
"Ex_L5_6","Ex_L6b","NRG3","ERBB4",0.396800708297182,0,"NRG3_ERBB4","NRG3 - ERBB4","NRG","Secreted Signaling","KEGG: hsa04012"
"Ex_L6b","Ex_L6b","NRG3","ERBB4",0.39547039748349,0,"NRG3_ERBB4","NRG3 - ERBB4","NRG","Secreted Signaling","KEGG: hsa04012"
"In_VIP","Ex_L6b","NRG3","ERBB4",0.396596832486582,0,"NRG3_ERBB4","NRG3 - ERBB4","NRG","Secreted Signaling","KEGG: hsa04012"
"In_SST","Ex_L6b","NRG3","ERBB4",0.382767513004171,0,"NRG3_ERBB4","NRG3 - ERBB4","NRG","Secreted Signaling","KEGG: hsa04012"
"In_PVALB","Ex_L6b","NRG3","ERBB4",0.388054503683279,0,"NRG3_ERBB4","NRG3 - ERBB4","NRG","Secreted Signaling","KEGG: hsa04012"
"In_LAMP5","Ex_L6b","NRG3","ERBB4",0.368310413467652,0,"NRG3_ERBB4","NRG3 - ERBB4","NRG","Secreted Signaling","KEGG: hsa04012"
"In_LAMP5_PAX6","Ex_L6b","NRG3","ERBB4",0.36207737322665,0,"NRG3_ERBB4","NRG3 - ERBB4","NRG","Secreted Signaling","KEGG: hsa04012"
"Astrocytes","Ex_L6b","NRG3","ERBB4",0.408956369801293,0,"NRG3_ERBB4","NRG3 - ERBB4","NRG","Secreted Signaling","KEGG: hsa04012"
"Astrocytes_Reactive","Ex_L6b","NRG3","ERBB4",0.401094712215603,0,"NRG3_ERBB4","NRG3 - ERBB4","NRG","Secreted Signaling","KEGG: hsa04012"
"OPCs","Ex_L6b","NRG3","ERBB4",0.277811604723983,0,"NRG3_ERBB4","NRG3 - ERBB4","NRG","Secreted Signaling","KEGG: hsa04012"
"Ex_L2_3","In_VIP","NRG3","ERBB4",0.383626933003887,0,"NRG3_ERBB4","NRG3 - ERBB4","NRG","Secreted Signaling","KEGG: hsa04012"
"Ex_L5_6","In_VIP","NRG3","ERBB4",0.391327962735189,0,"NRG3_ERBB4","NRG3 - ERBB4","NRG","Secreted Signaling","KEGG: hsa04012"
"Ex_L6b","In_VIP","NRG3","ERBB4",0.390004136809019,0,"NRG3_ERBB4","NRG3 - ERBB4","NRG","Secreted Signaling","KEGG: hsa04012"
"In_VIP","In_VIP","NRG3","ERBB4",0.391125075535882,0,"NRG3_ERBB4","NRG3 - ERBB4","NRG","Secreted Signaling","KEGG: hsa04012"
"In_SST","In_VIP","NRG3","ERBB4",0.377367230084136,0,"NRG3_ERBB4","NRG3 - ERBB4","NRG","Secreted Signaling","KEGG: hsa04012"
"In_PVALB","In_VIP","NRG3","ERBB4",0.382625868908828,0,"NRG3_ERBB4","NRG3 - ERBB4","NRG","Secreted Signaling","KEGG: hsa04012"
"In_LAMP5","In_VIP","NRG3","ERBB4",0.362994145170981,0,"NRG3_ERBB4","NRG3 - ERBB4","NRG","Secreted Signaling","KEGG: hsa04012"
"In_LAMP5_PAX6","In_VIP","NRG3","ERBB4",0.356800256302228,0,"NRG3_ERBB4","NRG3 - ERBB4","NRG","Secreted Signaling","KEGG: hsa04012"
"Astrocytes","In_VIP","NRG3","ERBB4",0.403428099892987,0,"NRG3_ERBB4","NRG3 - ERBB4","NRG","Secreted Signaling","KEGG: hsa04012"
"Astrocytes_Reactive","In_VIP","NRG3","ERBB4",0.395601584175451,0,"NRG3_ERBB4","NRG3 - ERBB4","NRG","Secreted Signaling","KEGG: hsa04012"
"OPCs","In_VIP","NRG3","ERBB4",0.27323658566169,0,"NRG3_ERBB4","NRG3 - ERBB4","NRG","Secreted Signaling","KEGG: hsa04012"
"Ex_L2_3","In_PVALB","NRG3","ERBB4",0.390653645411464,0,"NRG3_ERBB4","NRG3 - ERBB4","NRG","Secreted Signaling","KEGG: hsa04012"
"Ex_L5_6","In_PVALB","NRG3","ERBB4",0.398404556928352,0,"NRG3_ERBB4","NRG3 - ERBB4","NRG","Secreted Signaling","KEGG: hsa04012"
"Ex_L6b","In_PVALB","NRG3","ERBB4",0.397072408654744,0,"NRG3_ERBB4","NRG3 - ERBB4","NRG","Secreted Signaling","KEGG: hsa04012"
"In_VIP","In_PVALB","NRG3","ERBB4",0.398200401060174,0,"NRG3_ERBB4","NRG3 - ERBB4","NRG","Secreted Signaling","KEGG: hsa04012"
"In_SST","In_PVALB","NRG3","ERBB4",0.384350782350508,0,"NRG3_ERBB4","NRG3 - ERBB4","NRG","Secreted Signaling","KEGG: hsa04012"
"In_PVALB","In_PVALB","NRG3","ERBB4",0.389645836579659,0,"NRG3_ERBB4","NRG3 - ERBB4","NRG","Secreted Signaling","KEGG: hsa04012"
"In_LAMP5","In_PVALB","NRG3","ERBB4",0.369869717315721,0,"NRG3_ERBB4","NRG3 - ERBB4","NRG","Secreted Signaling","KEGG: hsa04012"
"In_LAMP5_PAX6","In_PVALB","NRG3","ERBB4",0.363625478786682,0,"NRG3_ERBB4","NRG3 - ERBB4","NRG","Secreted Signaling","KEGG: hsa04012"
"Astrocytes","In_PVALB","NRG3","ERBB4",0.410575908243789,0,"NRG3_ERBB4","NRG3 - ERBB4","NRG","Secreted Signaling","KEGG: hsa04012"
"Astrocytes_Reactive","In_PVALB","NRG3","ERBB4",0.402704329786701,0,"NRG3_ERBB4","NRG3 - ERBB4","NRG","Secreted Signaling","KEGG: hsa04012"
"OPCs","In_PVALB","NRG3","ERBB4",0.27915708525628,0,"NRG3_ERBB4","NRG3 - ERBB4","NRG","Secreted Signaling","KEGG: hsa04012"
"Ex_L2_3","In_LAMP5","NRG3","ERBB4",0.341919587770812,0,"NRG3_ERBB4","NRG3 - ERBB4","NRG","Secreted Signaling","KEGG: hsa04012"
"Ex_L5_6","In_LAMP5","NRG3","ERBB4",0.349257784033573,0,"NRG3_ERBB4","NRG3 - ERBB4","NRG","Secreted Signaling","KEGG: hsa04012"
"Ex_L6b","In_LAMP5","NRG3","ERBB4",0.34799490954223,0,"NRG3_ERBB4","NRG3 - ERBB4","NRG","Secreted Signaling","KEGG: hsa04012"
"In_VIP","In_LAMP5","NRG3","ERBB4",0.349064199824625,0,"NRG3_ERBB4","NRG3 - ERBB4","NRG","Secreted Signaling","KEGG: hsa04012"
"In_SST","In_LAMP5","NRG3","ERBB4",0.335969482096307,0,"NRG3_ERBB4","NRG3 - ERBB4","NRG","Secreted Signaling","KEGG: hsa04012"
"In_PVALB","In_LAMP5","NRG3","ERBB4",0.340967152632325,0,"NRG3_ERBB4","NRG3 - ERBB4","NRG","Secreted Signaling","KEGG: hsa04012"
"In_LAMP5","In_LAMP5","NRG3","ERBB4",0.322356812942644,0,"NRG3_ERBB4","NRG3 - ERBB4","NRG","Secreted Signaling","KEGG: hsa04012"
"In_LAMP5_PAX6","In_LAMP5","NRG3","ERBB4",0.31651179561034,0,"NRG3_ERBB4","NRG3 - ERBB4","NRG","Secreted Signaling","KEGG: hsa04012"
"Astrocytes","In_LAMP5","NRG3","ERBB4",0.360828235208539,0,"NRG3_ERBB4","NRG3 - ERBB4","NRG","Secreted Signaling","KEGG: hsa04012"
"Astrocytes_Reactive","In_LAMP5","NRG3","ERBB4",0.353338673512742,0,"NRG3_ERBB4","NRG3 - ERBB4","NRG","Secreted Signaling","KEGG: hsa04012"
"OPCs","In_LAMP5","NRG3","ERBB4",0.238879463181913,0,"NRG3_ERBB4","NRG3 - ERBB4","NRG","Secreted Signaling","KEGG: hsa04012"
"Ex_L2_3","In_LAMP5_PAX6","NRG3","ERBB4",0.352253965924383,0,"NRG3_ERBB4","NRG3 - ERBB4","NRG","Secreted Signaling","KEGG: hsa04012"
"Ex_L5_6","In_LAMP5_PAX6","NRG3","ERBB4",0.359692728289882,0,"NRG3_ERBB4","NRG3 - ERBB4","NRG","Secreted Signaling","KEGG: hsa04012"
"Ex_L6b","In_LAMP5_PAX6","NRG3","ERBB4",0.35841290388009,0,"NRG3_ERBB4","NRG3 - ERBB4","NRG","Secreted Signaling","KEGG: hsa04012"
"In_VIP","In_LAMP5_PAX6","NRG3","ERBB4",0.359496555483904,0,"NRG3_ERBB4","NRG3 - ERBB4","NRG","Secreted Signaling","KEGG: hsa04012"
"In_SST","In_LAMP5_PAX6","NRG3","ERBB4",0.346218635010038,0,"NRG3_ERBB4","NRG3 - ERBB4","NRG","Secreted Signaling","KEGG: hsa04012"
"In_PVALB","In_LAMP5_PAX6","NRG3","ERBB4",0.351288110515352,0,"NRG3_ERBB4","NRG3 - ERBB4","NRG","Secreted Signaling","KEGG: hsa04012"
"In_LAMP5","In_LAMP5_PAX6","NRG3","ERBB4",0.332398570153176,0,"NRG3_ERBB4","NRG3 - ERBB4","NRG","Secreted Signaling","KEGG: hsa04012"
"In_LAMP5_PAX6","In_LAMP5_PAX6","NRG3","ERBB4",0.32645919187065,0,"NRG3_ERBB4","NRG3 - ERBB4","NRG","Secreted Signaling","KEGG: hsa04012"
