"seurat_clusters","Mathys2019_Excitatory_pan","Hodge2019_Ex_L2_3","Hodge2019_Ex_L4","Hodge2019_Ex_L5_6","Hodge2019_Ex_L6","Hodge2019_Ex_L6b","Mathys2019_Inhibitory_pan","Tasic2018_In_VIP","Tasic2018_In_SST","Tasic2018_In_PVALB","Bakken2021_In_LAMP5","Bakken2021_In_LAMP5_PAX6","Mathys2019_Astrocytes_pan","Habib2020_Reactive_DAA","Mathys2019_Microglia_pan","Mathys2019_Oligo_pan","Mathys2019_OPCs_pan","Marques2016_COPs","Mathys2019_Endothelial","Mathys2019_Pericytes","Vanlandewijck2018_VLMC","Hodge2019_Cajal_Retzius"
"10",0.0208020509046247,-0.0182564899501582,-0.147693505692982,0.0361018885399188,-0.0817040386080215,0.24673432448996,0.230134947745697,0.929539963456047,0.278483658782669,1.06887445315131,0.604515542503568,-0.016695364984452,-0.346437787409823,-0.127873453235927,-0.0675501401048385,-0.411601449720925,-0.160185865062931,-0.236106205480478,0.000431666893907737,-0.099491736799693,-0.0926084770314056,0.123548841817367
"11",-0.0175090707828698,-0.00708990204806022,-0.0242788000642377,-0.0244217481211771,0.00296364041147087,-0.0371377784792165,-0.0165712549371863,-0.0153059012398873,-0.0129322724289303,0.207898984044823,-0.023158404072985,-0.00419530027962235,-0.0947971215091787,-0.0194818810287643,-0.0144763600940354,0.74748642281776,-0.117245418924845,0.152986949309612,0.000141460213572536,-0.0425061413021609,0.280531928143746,-0.00291718082110195
"12",-0.120390801836567,0.121679356934803,-0.229438284446725,-0.123249734844628,-0.1079267668111,0.0932901078757144,0.375103640283495,-0.0370223663235552,0.0444864005382361,1.37613395837567,-0.158649098186263,0.0432179653219756,-0.345331611862072,-0.138410322864738,-0.0524811654832837,-0.364330033590093,-0.0712364587464369,-0.160261863153784,-0.00687944586817264,-0.0430848300718192,-0.162242657605804,-0.0476906668262765
"13",-0.0129146520602614,-0.00192859268473346,0.0657777879205543,0.0418800730122799,0.0331653245476939,-0.0190373491761717,-0.0299403115770981,-0.0190639042176152,-0.021896072838181,0.0859000326225124,-0.0800950108143813,-0.00545107349403491,-0.0989263177247901,0.0377579158461636,-0.0129117570461709,0.114838164958758,-0.146057084115037,-0.0358118003652606,0.136999461061256,0.212864463107928,0.92368748862246,-0.0150373824677634
"14",0.0426532846227562,0.137292787769509,-0.154504025714715,-0.0739268505067046,0.0186776240985123,0.0626880229613837,0.281126038599157,0.188220493669518,0.849632335649613,0.163832810622501,-0.0402619724061275,0.0381056356924107,-0.299219112211664,-0.124716613745512,-0.0603488186457351,-0.395818866588655,0.146094703756993,-0.159637267481592,-0.00338106361251858,-0.0673467740551436,-0.121146910537243,0.0680131030749965
"15",0.00185593056976629,0.108784478825821,-0.185812941341389,-0.0501402485579956,-0.0631291502076715,0.0628245931173232,0.440482032395775,0.155593676730705,0.223919978317336,1.01257211167639,0.874503476101902,0.52862324123483,-0.354818578473867,-0.110828373823028,-0.062889763974143,-0.426790508231853,-0.0265076937103217,-0.24139257622348,-0.00785659628082944,-0.0756720689267626,-0.168249014130522,0.0406921528392726
"16",0.0269239599231515,-0.0297106982947753,-0.15646373312067,0.0478846140385523,-0.0613051838989781,0.0534777691484807,0.242873351417562,0.574236153993747,0.235824773789887,0.940903528696834,1.43358997585314,0.152117652265437,-0.336489983313789,-0.125908680247679,-0.0728358185649048,-0.466893887487486,-0.0904788518468131,-0.258108836429318,-0.00992146802978098,-0.120355333651162,-0.149306341113532,0.295854714973263
"17",0.130566436401493,-0.0434328668891106,-0.113138046870763,-0.0602099787664036,0.0152942726383943,-0.0313201158034353,-0.0348564109324302,0.0906235288196424,0.0817251589310267,0.249165298850798,0.184904468529686,0.00749317466539232,-0.265629996850888,-0.0537331730001687,-0.0321559031876521,-0.225438998347582,-0.227781830481186,-0.203535958868198,0.00922463446253292,-0.0907903777319576,-0.0643907013380132,0.954121291322922
"18",-0.0682418640266867,0.190130161531861,-0.20351369366211,-0.0345570492249417,-0.0791483495636056,0.978864731152575,0.118611098420329,-0.0508803832706339,0.00901608053466748,1.45167471367021,-0.188697507245715,0.081386548402038,-0.401655543597862,-0.125252356681639,-0.0610520794264207,-0.42280285955366,-0.0588256682077094,-0.243846299431857,-0.00911252210858548,-0.0944257917715071,-0.165560585508686,-0.048340490075246
"19",0.116788037518988,-0.0111233300047052,-0.0311582797942908,-0.0594665705998025,0.690306555159544,-0.125000826693778,-0.0669686432103395,0.0144649398648368,0.0673240909351558,0.0504816516638534,-0.130357812559798,0.0252889931331699,-0.428154955170042,-0.151553544202382,-0.0187322899225671,-0.307316019212731,0.0401792729849446,-0.0737851140080167,-0.00409992828882888,-0.104059860755618,-0.207437064125354,0.128996111607604
